zipcode,risk,count,area_mile2
11363,high,1678,0.8645620005363369
11363,low,172,0.8645620005363369
11363,medium,886,0.8645620005363369
11364,high,1553,2.5089981502828285
11364,low,354,2.5089981502828285
11364,medium,8914,2.5089981502828285
11365,high,1243,2.486230658251213
11365,low,495,2.486230658251213
11365,medium,8361,2.486230658251213
11366,high,1034,1.5237034006938948
11366,low,167,1.5237034006938948
11366,medium,4670,1.5237034006938948
11367,high,611,1.912207891772657
11367,low,163,1.912207891772657
11367,medium,6766,1.912207891772657
11368,high,6426,2.63360942684574
11368,low,1577,2.63360942684574
11368,medium,1850,2.63360942684574
11369,high,4509,1.083919376146789
11369,low,568,1.083919376146789
11369,medium,2219,1.083919376146789
11370,high,2127,1.5434420742182071
11370,low,176,1.5434420742182071
11370,medium,3229,1.5434420742182071
11371,high,40,
11371,low,3,
11371,medium,2,
11372,high,3057,0.7386238732281756
11372,low,108,0.7386238732281756
11372,medium,658,0.7386238732281756
11373,high,4857,1.5117772207696065
11373,low,731,1.5117772207696065
11373,medium,3282,1.5117772207696065
11374,high,2425,0.944052299211263
11374,low,145,0.944052299211263
11374,medium,1984,0.944052299211263
11375,high,5950,2.4206901045481786
11375,low,329,2.4206901045481786
11375,medium,3406,2.4206901045481786
11377,high,5064,2.5318784950118913
11377,low,681,2.5318784950118913
11377,medium,3743,2.5318784950118913
11378,high,6502,2.4348125322575265
11378,low,612,2.4348125322575265
11378,medium,3321,2.4348125322575265
11379,high,5451,2.2155949085773066
11379,low,303,2.2155949085773066
11379,medium,5384,2.2155949085773066
11385,high,17391,3.615116220138826
11385,low,371,3.615116220138826
11385,medium,1852,3.615116220138826
11411,high,2053,1.1793023095947557
11411,low,31,1.1793023095947557
11411,medium,6724,1.1793023095947557
11412,high,9794,1.6449763227036218
11412,low,391,1.6449763227036218
11412,medium,3972,1.6449763227036218
11413,high,7139,3.0164825265639355
11413,low,986,3.0164825265639355
11413,medium,6616,3.0164825265639355
11414,high,1499,2.3085776448641266
11414,low,404,2.3085776448641266
11414,medium,4949,2.3085776448641266
11415,high,1492,0.5601190648028771
11415,low,111,0.5601190648028771
11415,medium,314,0.5601190648028771
11416,high,4294,0.6596312260892413
11416,low,243,0.6596312260892413
11416,medium,663,0.6596312260892413
11417,high,6477,1.1134938932336593
11417,low,313,1.1134938932336593
11417,medium,1926,1.1134938932336593
11418,high,7007,1.6595487974616105
11418,low,244,1.6595487974616105
11418,medium,364,1.6595487974616105
11419,high,11045,1.1265528486355443
11419,low,383,1.1265528486355443
11419,medium,659,1.1265528486355443
11420,high,10787,2.107771659760087
11420,low,816,2.107771659760087
11420,medium,3402,2.107771659760087
11421,high,8075,1.2848824045580427
11421,low,205,1.2848824045580427
11421,medium,379,1.2848824045580427
11422,high,3257,2.098911399746964
11422,low,537,2.098911399746964
11422,medium,5999,2.098911399746964
11423,high,5948,1.4073965771610348
11423,low,333,1.4073965771610348
11423,medium,2063,1.4073965771610348
11426,high,3303,1.372679739305176
11426,low,114,1.372679739305176
11426,medium,4534,1.372679739305176
11427,high,2844,1.5686837620880365
11427,low,205,1.5686837620880365
11427,medium,3972,1.5686837620880365
11428,high,6735,0.8316963896456212
11428,low,94,0.8316963896456212
11428,medium,742,0.8316963896456212
11429,high,6383,1.3206214539710528
11429,low,243,1.3206214539710528
11429,medium,2598,1.3206214539710528
11430,high,4,7.118259094650205
11430,low,265,7.118259094650205
11430,medium,1,7.118259094650205
11432,high,6575,2.02342632085324
11432,low,523,2.02342632085324
